cohort_month,cohort_size,period_number,retained_customers,retention_rate_pct
2015-01,30,0,30,100.0
2015-01,30,1,2,6.67
2015-01,30,3,2,6.67
2015-01,30,4,2,6.67
2015-01,30,6,2,6.67
2015-01,30,7,3,10.0
2015-01,30,8,3,10.0
2015-01,30,9,3,10.0
2015-01,30,10,5,16.67
2015-01,30,11,3,10.0
2015-01,30,12,3,10.0
2015-02,25,0,25,100.0
2015-02,25,1,4,16.0
2015-02,25,2,2,8.0
2015-02,25,3,1,4.0
2015-02,25,5,2,8.0
2015-02,25,6,2,8.0
2015-02,25,7,4,16.0
2015-02,25,8,3,12.0
2015-02,25,9,3,12.0
2015-02,25,10,5,20.0
2015-02,25,11,1,4.0
2015-03,63,0,63,100.0
2015-03,63,1,4,6.35
2015-03,63,2,2,3.17
2015-03,63,3,8,12.7
2015-03,63,4,7,11.11
2015-03,63,6,7,11.11
2015-03,63,7,5,7.94
2015-03,63,8,6,9.52
2015-03,63,9,6,9.52
2015-03,63,10,1,1.59
2015-03,63,11,2,3.17
2015-03,63,12,6,9.52
2015-04,53,0,53,100.0
2015-04,53,1,6,11.32
2015-04,53,2,1,1.89
2015-04,53,3,3,5.66
2015-04,53,4,2,3.77
2015-04,53,5,8,15.09
2015-04,53,6,5,9.43
2015-04,53,7,9,16.98
2015-04,53,8,8,15.09
2015-04,53,9,1,1.89
2015-04,53,10,3,5.66
2015-04,53,11,5,9.43
2015-04,53,12,8,15.09
2015-05,55,0,55,100.0
2015-05,55,1,5,9.09
2015-05,55,2,5,9.09
2015-05,55,3,4,7.27
2015-05,55,4,10,18.18
2015-05,55,5,2,3.64
2015-05,55,6,11,20.0
2015-05,55,7,10,18.18
2015-05,55,8,4,7.27
2015-05,55,9,3,5.45
2015-05,55,10,3,5.45
2015-05,55,11,6,10.91
2015-05,55,12,2,3.64
2015-06,47,0,47,100.0
2015-06,47,1,2,4.26
2015-06,47,2,1,2.13
2015-06,47,3,4,8.51
2015-06,47,4,2,4.26
2015-06,47,5,9,19.15
2015-06,47,6,8,17.02
2015-06,47,7,1,2.13
2015-06,47,8,4,8.51
2015-06,47,9,6,12.77
2015-06,47,10,4,8.51
2015-06,47,11,4,8.51
2015-06,47,12,4,8.51
2015-07,43,0,43,100.0
2015-07,43,1,6,13.95
2015-07,43,2,5,11.63
2015-07,43,4,5,11.63
2015-07,43,5,8,18.6
2015-07,43,6,2,4.65
2015-07,43,8,8,18.6
2015-07,43,9,2,4.65
2015-07,43,10,7,16.28
2015-07,43,11,7,16.28
2015-07,43,12,5,11.63
2015-08,50,0,50,100.0
2015-08,50,1,8,16.0
2015-08,50,2,3,6.0
2015-08,50,3,11,22.0
2015-08,50,4,5,10.0
2015-08,50,5,3,6.0
2015-08,50,6,4,8.0
2015-08,50,7,2,4.0
2015-08,50,8,5,10.0
2015-08,50,9,3,6.0
2015-08,50,10,5,10.0
2015-08,50,11,6,12.0
2015-08,50,12,2,4.0
2015-09,68,0,68,100.0
2015-09,68,1,9,13.24
2015-09,68,2,8,11.76
2015-09,68,3,11,16.18
2015-09,68,4,1,1.47
2015-09,68,5,2,2.94
2015-09,68,6,8,11.76
2015-09,68,7,10,14.71
2015-09,68,8,9,13.24
2015-09,68,9,2,2.94
2015-09,68,10,6,8.82
2015-09,68,11,8,11.76
2015-09,68,12,12,17.65
2015-10,43,0,43,100.0
2015-10,43,1,3,6.98
2015-10,43,2,5,11.63
2015-10,43,3,1,2.33
2015-10,43,4,3,6.98
2015-10,43,5,4,9.3
2015-10,43,6,5,11.63
2015-10,43,7,4,9.3
2015-10,43,8,3,6.98
2015-10,43,9,4,9.3
2015-10,43,10,4,9.3
2015-10,43,11,8,18.6
2015-10,43,12,4,9.3
2015-11,63,0,63,100.0
2015-11,63,1,14,22.22
2015-11,63,3,3,4.76
2015-11,63,4,5,7.94
2015-11,63,5,4,6.35
2015-11,63,6,2,3.17
2015-11,63,7,6,9.52
2015-11,63,8,3,4.76
2015-11,63,9,5,7.94
2015-11,63,10,9,14.29
2015-11,63,11,5,7.94
2015-11,63,12,14,22.22
2015-12,49,0,49,100.0
2015-12,49,1,2,4.08
2015-12,49,2,4,8.16
2015-12,49,3,4,8.16
2015-12,49,4,2,4.08
2015-12,49,5,2,4.08
2015-12,49,6,4,8.16
2015-12,49,7,6,12.24
2015-12,49,8,5,10.2
2015-12,49,9,10,20.41
2015-12,49,10,5,10.2
2015-12,49,11,6,12.24
2015-12,49,12,9,18.37
2016-01,8,0,8,100.0
2016-01,8,2,1,12.5
2016-01,8,4,1,12.5
2016-01,8,6,2,25.0
2016-01,8,9,1,12.5
2016-01,8,10,1,12.5
2016-01,8,11,1,12.5
2016-01,8,12,1,12.5
2016-02,8,0,8,100.0
2016-02,8,2,1,12.5
2016-02,8,5,1,12.5
2016-02,8,7,3,37.5
2016-02,8,10,1,12.5
2016-02,8,12,1,12.5
2016-03,17,0,17,100.0
2016-03,17,1,1,5.88
2016-03,17,2,1,5.88
2016-03,17,3,3,17.65
