year_month,year,month,revenue,orders,customers,prev_month_revenue,mom_revenue_growth_pct,mom_order_growth_pct,cumulative_revenue
2015-01,2015,01,14205.71,30,30,,,,14205.71
2015-02,2015,02,4519.89,28,27,14205.71,-68.18,-6.67,18725.6
2015-03,2015,03,55205.8,69,67,4519.89,1121.4,146.43,73931.40000000001
2015-04,2015,04,27906.85,63,61,55205.8,-49.45,-8.7,101838.25
2015-05,2015,05,23644.3,68,66,27906.85,-15.27,7.94,125482.55
2015-06,2015,06,34322.94,64,61,23644.3,45.16,-5.88,159805.49
2015-07,2015,07,33781.54,64,64,34322.94,-1.58,0.0,193587.03
2015-08,2015,08,27117.54,70,68,33781.54,-19.73,9.38,220704.57
2015-09,2015,09,81623.53,129,117,27117.54,201.0,84.29,302328.1
2015-10,2015,10,31453.39,78,75,81623.53,-61.47,-39.53,333781.49
2015-11,2015,11,77907.66,145,133,31453.39,147.69,85.9,411689.15
2015-12,2015,12,68167.06,139,132,77907.66,-12.5,-4.14,479856.21
2016-01,2016,01,18066.96,29,28,68167.06,-73.5,-79.14,497923.17
2016-02,2016,02,11951.41,36,36,18066.96,-33.85,24.14,509874.58
2016-03,2016,03,32339.32,75,74,11951.41,170.59,108.33,542213.9
2016-04,2016,04,34154.47,71,68,32339.32,5.61,-5.33,576368.37
2016-05,2016,05,29959.53,72,67,34154.47,-12.28,1.41,606327.9
2016-06,2016,06,23599.37,66,66,29959.53,-21.23,-8.33,629927.27
2016-07,2016,07,28608.26,64,62,23599.37,21.22,-3.03,658535.53
2016-08,2016,08,36818.34,67,63,28608.26,28.7,4.69,695353.87
2016-09,2016,09,63133.61,137,123,36818.34,71.47,104.48,758487.48
2016-10,2016,10,31011.74,86,78,63133.61,-50.88,-37.23,789499.22
2016-11,2016,11,75249.4,157,145,31011.74,142.65,82.56,864748.62
2016-12,2016,12,74543.6,159,139,75249.4,-0.94,1.27,939292.22
2017-01,2017,01,18542.49,48,46,74543.6,-75.13,-69.81,957834.71
2017-02,2017,02,22978.82,45,42,18542.49,23.93,-6.25,980813.53
2017-03,2017,03,51165.06,85,79,22978.82,122.66,88.89,1031978.59
2017-04,2017,04,38679.77,88,82,51165.06,-24.4,3.53,1070658.36
2017-05,2017,05,56656.91,107,96,38679.77,46.48,21.59,1127315.27
2017-06,2017,06,39724.49,95,89,56656.91,-29.89,-11.21,1167039.76
2017-07,2017,07,38320.78,95,88,39724.49,-3.53,0.0,1205360.54
2017-08,2017,08,30542.2,89,85,38320.78,-20.3,-6.32,1235902.74
2017-09,2017,09,69193.39,186,171,30542.2,126.55,108.99,1305096.13
2017-10,2017,10,59583.03,103,93,69193.39,-13.89,-44.62,1364679.16
2017-11,2017,11,79066.5,182,164,59583.03,32.7,76.7,1443745.66
2017-12,2017,12,95739.12,172,154,79066.5,21.09,-5.49,1539484.78
2018-01,2018,01,43476.47,67,66,95739.12,-54.59,-61.05,1582961.25
2018-02,2018,02,19921.0,52,52,43476.47,-54.18,-22.39,1602882.25
2018-03,2018,03,58863.41,117,114,19921.0,195.48,125.0,1661745.66
2018-04,2018,04,35541.91,115,108,58863.41,-39.62,-1.71,1697287.57
2018-05,2018,05,43825.98,116,111,35541.91,23.31,0.87,1741113.55
2018-06,2018,06,48190.73,129,115,43825.98,9.96,11.21,1789304.28
2018-07,2018,07,44825.1,108,99,48190.73,-6.98,-16.28,1834129.38
2018-08,2018,08,62837.85,109,102,44825.1,40.18,0.93,1896967.23
2018-09,2018,09,86152.89,222,194,62837.85,37.1,103.67,1983120.12
2018-10,2018,10,77448.13,144,134,86152.89,-10.1,-35.14,2060568.25
2018-11,2018,11,117938.15,259,215,77448.13,52.28,79.86,2178506.4
2018-12,2018,12,83030.39,223,194,117938.15,-29.6,-13.9,2261536.79
